"LINEA"|"OBJETIVO"|"ACTIVIDAD_PRIMARIA"|"ACTIVIDAD_SECUNDARIA"|"ACTIVIDAD_PUNTUAL"|"SEMANA_INICIO"|"SEMANA_FIN"|"ESTATUS_PUNTUAL"|"IMPORTANCIA_PUNTUAL"|"IMPORTANCIA_SECUNDARIA"|"IMPORTANCIA_PRIMARIA"|"IMPORTANCIA_OBJETIVO"|"IMPORTANCIA_LINEA"|"ID_OBJETIVO"|"ID_PRIMARIA"|"ID_SECUNDARIA"|"ID_PUNTUAL"|"SEMANA"
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"CONEXION"|"CONEXION"|"1"|"2"|"TERMINADO"|"D"|"C"|"D"|"D"|"E"|"00"|"00"|"00"|"00"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"CONEXION"|"EXTRACCION MODELO"|"2"|"2"|"TERMINADO"|"D"|"C"|"D"|"D"|"E"|"00"|"00"|"00"|"01"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"CONEXION"|"GENERACION DE DATOS PARA ENTRENAMIENTO"|"2"|"2"|"TERMINADO"|"D"|"C"|"D"|"D"|"E"|"00"|"00"|"00"|"02"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DOCUMENTO A"|"EXPLORACION Y DEFINICION DE MODELOS DE DATOS"|"4"|"5"|"TERMINADO"|"D"|"B"|"D"|"D"|"E"|"00"|"00"|"01"|"00"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DOCUMENTO A"|"OBTENCION DOCUMENTO A"|"4"|"4"|"TERMINADO"|"C"|"B"|"D"|"D"|"E"|"00"|"00"|"01"|"01"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DOCUMENTO B"|"EXPLORACION PAGINA DOCUMENTO B"|"5"|"5"|"TERMINADO"|"C"|"D"|"D"|"D"|"E"|"00"|"00"|"02"|"00"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DOCUMENTO B"|"SCRAPER DOCUMENTO B"|"5"|"6"|"TERMINADO"|"D"|"D"|"D"|"D"|"E"|"00"|"00"|"02"|"01"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DOCUMENTO C"|"EXPLORACION PAGINA DOCUMENTO C"|"7"|"7"|"TERMINADO"|"C"|"C"|"D"|"D"|"E"|"00"|"00"|"03"|"00"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DOCUMENTO C"|"SCRAPER DOCUMENTO C"|"7"|"8"|"-1 SEMANA"|"C"|"C"|"D"|"D"|"E"|"00"|"00"|"03"|"01"|9
"NOMBRE_LINEA"|"SERVICIO"|"SCRAPER"|"DESCARGAS MASIVAS"|"AGREGAR PROXIES"|"8"|"8"|"TERMINADO"|"C"|"D"|"D"|"D"|"E"|"00"|"00"|"04"|"00"|9
